|  l_r   | activation_function |          optimizer          | neurons_per_layer | epochs |       mse_val        |       mae_val       |       rmse_val      |         r2_val         |      mse_train       |      mae_train      |      rmse_train     |        r2_train       |
|:------:|:-------------------:|:---------------------------:|:-----------------:|:------:|:--------------------:|:-------------------:|:-------------------:|:----------------------:|:--------------------:|:-------------------:|:-------------------:|:---------------------:|
| 0.001  |         relu        | mini_batch_gradient_descent |        [8]        |  199   | 0.055653951902691824 |  0.1873417610982644 | 0.23591089822789413 |  -0.13691762105013372  | 0.02791242106500567  |  0.1154822391725624 | 0.16707010823305787 |  0.24872109117197727  |
| 0.001  |         relu        |    batch_gradient_descent   |        [8]        |   71   |  0.2649170756946731  |  0.3916458356909438 |  0.5147009575420208 |   -4.411814995653135   | 0.15824822523306695  | 0.32454464572172614 |  0.3978042549207675 |  -3.2593422369270044  |
| 0.001  |         relu        |             sgd             |        [8]        |   5    | 0.06053731345430311  | 0.20363852617225267 |  0.2460433162154646 |   -0.236676570921168   | 0.02961860259476188  | 0.12976684572466385 | 0.17210055954226844 |  0.20279823141887587  |
| 0.001  |         relu        | mini_batch_gradient_descent |        [8]        |   28   | 0.11440769922281271  | 0.24859918000700537 |  0.3382420719289851 |   -1.337158903965061   |  0.0408478210994343  |  0.1611552025403701 |  0.2021084389614503 |  -0.09944266002992984 |
| 0.001  |         relu        |    batch_gradient_descent   |        [8]        |  365   | 0.056303722048019575 | 0.17470327730172353 | 0.23728405350553916 |  -0.15019134380655297  | 0.08774108876631666  |  0.1947431819475289 |  0.2962112232281496 |  -1.3616020005653948  |
| 0.001  |         relu        |             sgd             |        [8]        |   4    |  0.2786553449227492  |  0.4289394946604067 |  0.5278781534812264 |   -4.692464973491906   | 0.06769272453595052  | 0.20618273758344588 |  0.260178255309606  |  -0.8219887162967778  |
| 0.001  |         relu        | mini_batch_gradient_descent |      [16, 10]     |   14   | 0.13494378424192444  |  0.2966824066017292 |  0.3673469534948186 |  -1.7566769458542395   | 0.06636803905901104  | 0.19326848042506653 | 0.25761995081711164 |  -0.7863340427972034  |
| 0.001  |         relu        |    batch_gradient_descent   |      [16, 10]     |  199   | 0.09081630245977589  | 0.22730443471916476 |  0.301357433058778  |  -0.8552259276334309   | 0.12717748365130177  |  0.2993073237991088 |   0.35661952225208  |  -2.4230553101261147  |
| 0.001  |         relu        |             sgd             |      [16, 10]     |  199   | 0.05656580898611714  | 0.17708323206999213 | 0.23783567643673045 |  -0.15554534380086027  | 0.008361312816244717 | 0.06643011339603945 | 0.09144021443678224 |   0.7749504439500754  |
| 0.001  |         relu        | mini_batch_gradient_descent |      [16, 10]     |   54   | 0.09324568940676396  |  0.2478648088997396 |  0.3053615715946654 |   -0.904854260104936   | 0.05107024064640188  | 0.17444927635800225 |  0.225987257708044  |  -0.37458497695551074 |
| 0.001  |         relu        |    batch_gradient_descent   |      [16, 10]     |   50   | 0.07946288203974347  |  0.2489306558918949 |  0.2818916139932926 |  -0.6232944422055122   | 0.09554017882332808  |  0.2391757493592496 |  0.309095743780674  |  -1.5715190068414615  |
| 0.001  |         relu        |             sgd             |      [16, 10]     |   5    | 0.053187432728072984 | 0.18199592570596887 |  0.2306240072673983 |  -0.08653073896159391  | 0.023945383243371383 | 0.11763268959317248 | 0.15474295862290918 |  0.35549620175718644  |
| 0.001  |         relu        | mini_batch_gradient_descent |    [16, 10, 5]    |  160   | 0.02987671438877177  | 0.12630551072509374 | 0.17284881946016226 |  0.38966844426309655   | 0.02943877211796488  | 0.12901332546724517 | 0.17157730653546488 |   0.2076384724021797  |
| 0.001  |         relu        |    batch_gradient_descent   |    [16, 10, 5]    |  199   | 0.05011544875690158  | 0.15175039914730573 | 0.22386480017390312 | -0.023775218661526765  | 0.04632816488270451  |  0.1693908474787878 | 0.21523978461870033 |  -0.24694927322944116 |
