,summary,config,name
0,"{'_runtime': 1.376606, '_step': 28, '_timestamp': 1728598288.974488, '_wandb.runtime': 1, 'epoch': 27, 'train_accuracy': 0.6114911080711354, 'train_f1_score': 0.2971709750603028, 'train_loss': 0.15323733967603756, 'train_precision': 0.295185746525427, 'train_recall': 0.2991830871243258, 'val_accuracy': 0.5519125683060109, 'val_f1_score': 0.34303315840778564, 'val_loss': 0.16752256560502318, 'val_precision': 0.3216819253330409, 'val_recall': 0.3674202127659575}","{'neurons_per_layer': [8], 'activation_function': 'relu', 'l_r': 0.01, 'optimizer': 'mini_batch_gradient_descent', 'no_of_epochs': 100}",l_r_0.01_act_relu_opt_mini_batch_gradient_descent_hl_1_neurons_[8]_epochs_100
1,"{'_runtime': 0.528475, '_step': 8, '_timestamp': 1728598304.66609, '_wandb.runtime': 0, 'epoch': 7, 'train_accuracy': 0.454172366621067, 'train_f1_score': 0.10410787080589524, 'train_loss': 0.2780890979833899, 'train_precision': 0.0756953944368445, 'train_recall': 0.16666666666666666, 'val_accuracy': 0.2568306010928962, 'val_f1_score': 0.08173913043478262, 'val_loss': 0.22250620963475146, 'val_precision': 0.05136612021857924, 'val_recall': 0.2}","{'optimizer': 'batch_gradient_descent', 'no_of_epochs': 100, 'neurons_per_layer': [8], 'activation_function': 'relu', 'l_r': 0.01}",l_r_0.01_act_relu_opt_batch_gradient_descent_hl_1_neurons_[8]_epochs_100
2,"{'_runtime': 1.430569, '_step': 29, '_timestamp': 1728598320.97118, '_wandb.runtime': 1, 'epoch': 28, 'train_accuracy': 0.6210670314637483, 'train_f1_score': 0.3003988601065279, 'train_loss': 0.15413975627117624, 'train_precision': 0.29596145961459613, 'train_recall': 0.30497134737781534, 'val_accuracy': 0.5519125683060109, 'val_f1_score': 0.3464665229974328, 'val_loss': 0.17250451353335308, 'val_precision': 0.32445992720126837, 'val_recall': 0.3716755319148936}","{'activation_function': 'relu', 'l_r': 0.01, 'optimizer': 'sgd', 'no_of_epochs': 100, 'neurons_per_layer': [8]}",l_r_0.01_act_relu_opt_sgd_hl_1_neurons_[8]_epochs_100
3,"{'_runtime': 1.723196, '_step': 33, '_timestamp': 1728598336.442413, '_wandb.runtime': 1, 'epoch': 32, 'train_accuracy': 0.6101231190150479, 'train_f1_score': 0.29424159635226316, 'train_loss': 0.15170885412614124, 'train_precision': 0.2951790458494287, 'train_recall': 0.29331008243500317, 'val_accuracy': 0.5683060109289617, 'val_f1_score': 0.35026263937821034, 'val_loss': 0.16944571513659812, 'val_precision': 0.32940813464235624, 'val_recall': 0.373936170212766}","{'l_r': 0.01, 'optimizer': 'mini_batch_gradient_descent', 'no_of_epochs': 200, 'neurons_per_layer': [8], 'activation_function': 'relu'}",l_r_0.01_act_relu_opt_mini_batch_gradient_descent_hl_1_neurons_[8]_epochs_200
4,"{'_runtime': 0.549601, '_step': 10, '_timestamp': 1728598352.69054, '_wandb.runtime': 0, 'epoch': 9, 'train_accuracy': 0.454172366621067, 'train_f1_score': 0.10410787080589524, 'train_loss': 0.27572320636999487, 'train_precision': 0.0756953944368445, 'train_recall': 0.16666666666666666, 'val_accuracy': 0.2568306010928962, 'val_f1_score': 0.08173913043478262, 'val_loss': 0.22221839109606195, 'val_precision': 0.05136612021857924, 'val_recall': 0.2}","{'optimizer': 'batch_gradient_descent', 'no_of_epochs': 200, 'neurons_per_layer': [8], 'activation_function': 'relu', 'l_r': 0.01}",l_r_0.01_act_relu_opt_batch_gradient_descent_hl_1_neurons_[8]_epochs_200
5,"{'_runtime': 2.441196, '_step': 22, '_timestamp': 1728598360.230376, '_wandb.runtime': 2, 'epoch': 21, 'train_accuracy': 0.615595075239398, 'train_f1_score': 0.30175229844223533, 'train_loss': 0.1548791816947554, 'train_precision': 0.2989793373951195, 'train_recall': 0.30457717810814405, 'val_accuracy': 0.5628415300546448, 'val_f1_score': 0.3535774546956794, 'val_loss': 0.16840423140695912, 'val_precision': 0.3321767687584779, 'val_recall': 0.37792553191489364}","{'l_r': 0.01, 'optimizer': 'sgd', 'no_of_epochs': 200, 'neurons_per_layer': [8], 'activation_function': 'relu'}",l_r_0.01_act_relu_opt_sgd_hl_1_neurons_[8]_epochs_200
6,"{'_runtime': 0.960742, '_step': 21, '_timestamp': 1728598370.802916, '_wandb.runtime': 1, 'epoch': 20, 'train_accuracy': 0.612859097127223, 'train_f1_score': 0.302990106452498, 'train_loss': 0.1529975058907752, 'train_precision': 0.2904667428637151, 'train_recall': 0.3166420066229832, 'val_accuracy': 0.5300546448087432, 'val_f1_score': 0.35042827484909084, 'val_loss': 0.17254472813266597, 'val_precision': 0.3239293450347246, 'val_recall': 0.3816489361702128}","{'optimizer': 'mini_batch_gradient_descent', 'no_of_epochs': 100, 'neurons_per_layer': [16, 10], 'activation_function': 'relu', 'l_r': 0.01}","l_r_0.01_act_relu_opt_mini_batch_gradient_descent_hl_2_neurons_[16, 10]_epochs_100"
7,"{'_runtime': 0.517848, '_step': 13, '_timestamp': 1728598381.3497632, '_wandb.runtime': 0, 'epoch': 12, 'train_accuracy': 0.454172366621067, 'train_f1_score': 0.10410787080589524, 'train_loss': 0.2804857815783648, 'train_precision': 0.0756953944368445, 'train_recall': 0.16666666666666666, 'val_accuracy': 0.2568306010928962, 'val_f1_score': 0.08173913043478262, 'val_loss': 0.22498061130111358, 'val_precision': 0.05136612021857924, 'val_recall': 0.2}","{'neurons_per_layer': [16, 10], 'activation_function': 'relu', 'l_r': 0.01, 'optimizer': 'batch_gradient_descent', 'no_of_epochs': 100}","l_r_0.01_act_relu_opt_batch_gradient_descent_hl_2_neurons_[16, 10]_epochs_100"
8,"{'_runtime': 0.86957, '_step': 13, '_timestamp': 1728598392.51526, '_wandb.runtime': 0, 'epoch': 12, 'train_accuracy': 0.612859097127223, 'train_f1_score': 0.3037964430354108, 'train_loss': 0.155856018894609, 'train_precision': 0.3025317551436954, 'train_recall': 0.30507174898424105, 'val_accuracy': 0.5683060109289617, 'val_f1_score': 0.3478347478938946, 'val_loss': 0.1710476371205051, 'val_precision': 0.3303391293624368, 'val_recall': 0.3672872340425532}","{'l_r': 0.01, 'optimizer': 'sgd', 'no_of_epochs': 100, 'neurons_per_layer': [16, 10], 'activation_function': 'relu'}","l_r_0.01_act_relu_opt_sgd_hl_2_neurons_[16, 10]_epochs_100"
9,"{'_runtime': 1.510791, '_step': 37, '_timestamp': 1728598402.830221, '_wandb.runtime': 1, 'epoch': 36, 'train_accuracy': 0.6374829001367989, 'train_f1_score': 0.3087852055263738, 'train_loss': 0.14823742193435682, 'train_precision': 0.3029331140350877, 'train_recall': 0.3148678534801976, 'val_accuracy': 0.5683060109289617, 'val_f1_score': 0.3582629251609386, 'val_loss': 0.17076325951400753, 'val_precision': 0.3356250446205469, 'val_recall': 0.3841755319148936}","{'optimizer': 'mini_batch_gradient_descent', 'no_of_epochs': 200, 'neurons_per_layer': [16, 10], 'activation_function': 'relu', 'l_r': 0.01}","l_r_0.01_act_relu_opt_mini_batch_gradient_descent_hl_2_neurons_[16, 10]_epochs_200"
