,summary,config,name
0,"{'_runtime': 0.753223, '_step': 14, '_timestamp': 1728640713.773342, '_wandb.runtime': 0, 'epoch': 13, 'hamming_loss': 0.3291015625, 'train_accuracy': 0.6716796875, 'train_f1_score': 0.1906596051998074, 'train_hamming_loss': 0.3283203125, 'train_loss': 4.916034204175594, 'train_precision': 0.61875, 'train_recall': 0.11269208878770633, 'val_accuracy': 0.6578125, 'val_f1_score': 0.14785992217898836, 'val_hamming_loss': 0.3421875, 'val_loss': 5.11077157104241, 'val_precision': 0.4871794871794872, 'val_recall': 0.0871559633027523}","{'optimizer': 'mini_batch_gradient_descent', 'no_of_epochs': 100, 'neurons_per_layer': [8], 'activation_function': 'relu', 'l_r': 0.01}",l_r_0.01_act_relu_opt_mini_batch_gradient_descent_hl_1_neurons_[8]_epochs_100
1,"{'_runtime': 0.653432, '_step': 11, '_timestamp': 1728640724.389133, '_wandb.runtime': 0, 'epoch': 10, 'hamming_loss': 0.3431640625, 'train_accuracy': 0.6568359375, 'train_f1_score': 0, 'train_hamming_loss': 0.3431640625, 'train_loss': 5.142089177647156, 'train_precision': 0, 'train_recall': 0, 'val_accuracy': 0.659375, 'val_f1_score': 0, 'val_hamming_loss': 0.340625, 'val_loss': 5.139378477510168, 'val_precision': 0, 'val_recall': 0}","{'neurons_per_layer': [8], 'activation_function': 'relu', 'l_r': 0.01, 'optimizer': 'batch_gradient_descent', 'no_of_epochs': 100}",l_r_0.01_act_relu_opt_batch_gradient_descent_hl_1_neurons_[8]_epochs_100
2,"{'_runtime': 0.764073, '_step': 18, '_timestamp': 1728640739.653436, '_wandb.runtime': 0, 'epoch': 17, 'hamming_loss': 0.329296875, 'train_accuracy': 0.67265625, 'train_f1_score': 0.2019047619047619, 'train_hamming_loss': 0.32734375, 'train_loss': 4.8921759851718445, 'train_precision': 0.6180758017492711, 'train_recall': 0.12066021627774616, 'val_accuracy': 0.65625, 'val_f1_score': 0.140625, 'val_hamming_loss': 0.34375, 'val_loss': 5.140696671937376, 'val_precision': 0.47368421052631576, 'val_recall': 0.08256880733944955}","{'activation_function': 'relu', 'l_r': 0.01, 'optimizer': 'sgd', 'no_of_epochs': 100, 'neurons_per_layer': [8]}",l_r_0.01_act_relu_opt_sgd_hl_1_neurons_[8]_epochs_100
3,"{'_runtime': 0.567781, '_step': 17, '_timestamp': 1728640755.290827, '_wandb.runtime': 0, 'epoch': 16, 'hamming_loss': 0.3318359375, 'train_accuracy': 0.667578125, 'train_f1_score': 0.1864244741873805, 'train_hamming_loss': 0.332421875, 'train_loss': 4.907652218822094, 'train_precision': 0.582089552238806, 'train_recall': 0.1109846328969835, 'val_accuracy': 0.66484375, 'val_f1_score': 0.1702127659574468, 'val_hamming_loss': 0.33515625, 'val_loss': 5.1569140994378175, 'val_precision': 0.5432098765432098, 'val_recall': 0.10091743119266056}","{'no_of_epochs': 200, 'neurons_per_layer': [8], 'activation_function': 'relu', 'l_r': 0.01, 'optimizer': 'mini_batch_gradient_descent'}",l_r_0.01_act_relu_opt_mini_batch_gradient_descent_hl_1_neurons_[8]_epochs_200
4,"{'_runtime': 0.667052, '_step': 11, '_timestamp': 1728640761.50754, '_wandb.runtime': 0, 'epoch': 10, 'hamming_loss': 0.3431640625, 'train_accuracy': 0.6572265625, 'train_f1_score': 0.0045377197958026095, 'train_hamming_loss': 0.3427734375, 'train_loss': 5.123167528851027, 'train_precision': 0.6666666666666666, 'train_recall': 0.0022766078542970974, 'val_accuracy': 0.659375, 'val_f1_score': 0.0045662100456621, 'val_hamming_loss': 0.340625, 'val_loss': 5.151632997050383, 'val_precision': 0.5, 'val_recall': 0.0022935779816513763}","{'optimizer': 'batch_gradient_descent', 'no_of_epochs': 200, 'neurons_per_layer': [8], 'activation_function': 'relu', 'l_r': 0.01}",l_r_0.01_act_relu_opt_batch_gradient_descent_hl_1_neurons_[8]_epochs_200
5,"{'_runtime': 0.820708, '_step': 17, '_timestamp': 1728640777.0991402, '_wandb.runtime': 0, 'epoch': 16, 'hamming_loss': 0.32890625, 'train_accuracy': 0.671875, 'train_f1_score': 0.19847328244274806, 'train_hamming_loss': 0.328125, 'train_loss': 4.920492794719545, 'train_precision': 0.6135693215339233, 'train_recall': 0.11838360842344905, 'val_accuracy': 0.6671875, 'val_f1_score': 0.16141732283464566, 'val_hamming_loss': 0.3328125, 'val_loss': 5.119137976682981, 'val_precision': 0.5694444444444444, 'val_recall': 0.09403669724770643}","{'no_of_epochs': 200, 'neurons_per_layer': [8], 'activation_function': 'relu', 'l_r': 0.01, 'optimizer': 'sgd'}",l_r_0.01_act_relu_opt_sgd_hl_1_neurons_[8]_epochs_200
6,"{'_runtime': 0.577555, '_step': 7, '_timestamp': 1728640783.217757, '_wandb.runtime': 0, 'epoch': 6, 'hamming_loss': 0.3361328125, 'train_accuracy': 0.6677734375, 'train_f1_score': 0.1987753179463024, 'train_hamming_loss': 0.3322265625, 'train_loss': 4.978978103867753, 'train_precision': 0.5765027322404371, 'train_recall': 0.12009106431417188, 'val_accuracy': 0.63828125, 'val_f1_score': 0.14417744916820702, 'val_hamming_loss': 0.36171875, 'val_loss': 5.2167586824882175, 'val_precision': 0.37142857142857144, 'val_recall': 0.08944954128440367}","{'optimizer': 'mini_batch_gradient_descent', 'no_of_epochs': 100, 'neurons_per_layer': [16, 10], 'activation_function': 'relu', 'l_r': 0.01}","l_r_0.01_act_relu_opt_mini_batch_gradient_descent_hl_2_neurons_[16, 10]_epochs_100"
7,"{'_runtime': 0.517427, '_step': 11, '_timestamp': 1728640793.88542, '_wandb.runtime': 0, 'epoch': 10, 'hamming_loss': 0.3431640625, 'train_accuracy': 0.6568359375, 'train_f1_score': 0, 'train_hamming_loss': 0.3431640625, 'train_loss': 5.142089346706819, 'train_precision': 0, 'train_recall': 0, 'val_accuracy': 0.659375, 'val_f1_score': 0, 'val_hamming_loss': 0.340625, 'val_loss': 5.139357120869858, 'val_precision': 0, 'val_recall': 0}","{'optimizer': 'batch_gradient_descent', 'no_of_epochs': 100, 'neurons_per_layer': [16, 10], 'activation_function': 'relu', 'l_r': 0.01}","l_r_0.01_act_relu_opt_batch_gradient_descent_hl_2_neurons_[16, 10]_epochs_100"
8,"{'_runtime': 0.704914, '_step': 9, '_timestamp': 1728640809.1535249, '_wandb.runtime': 0, 'epoch': 8, 'hamming_loss': 0.3294921875, 'train_accuracy': 0.6701171875, 'train_f1_score': 0.16344725111441308, 'train_hamming_loss': 0.3298828125, 'train_loss': 4.9232907165538835, 'train_precision': 0.6297709923664122, 'train_recall': 0.09391007398975526, 'val_accuracy': 0.65546875, 'val_f1_score': 0.13017751479289943, 'val_hamming_loss': 0.34453125, 'val_loss': 5.151929922940171, 'val_precision': 0.4647887323943662, 'val_recall': 0.07568807339449542}","{'l_r': 0.01, 'optimizer': 'sgd', 'no_of_epochs': 100, 'neurons_per_layer': [16, 10], 'activation_function': 'relu'}","l_r_0.01_act_relu_opt_sgd_hl_2_neurons_[16, 10]_epochs_100"
9,"{'_runtime': 0.58533, '_step': 16, '_timestamp': 1728640815.299306, '_wandb.runtime': 0, 'epoch': 15, 'hamming_loss': 0.328125, 'train_accuracy': 0.6748046875, 'train_f1_score': 0.22522103303862262, 'train_hamming_loss': 0.3251953125, 'train_loss': 4.90471864141198, 'train_precision': 0.6173469387755102, 'train_recall': 0.1377347751849744, 'val_accuracy': 0.65078125, 'val_f1_score': 0.15180265654648956, 'val_hamming_loss': 0.34921875, 'val_loss': 5.138375375329136, 'val_precision': 0.43956043956043955, 'val_recall': 0.09174311926605505}","{'optimizer': 'mini_batch_gradient_descent', 'no_of_epochs': 200, 'neurons_per_layer': [16, 10], 'activation_function': 'relu', 'l_r': 0.01}","l_r_0.01_act_relu_opt_mini_batch_gradient_descent_hl_2_neurons_[16, 10]_epochs_200"
