|   lr  | activation_function |          optimizer          | neurons_per_layer | epochs |     val_accuracy    |    val_precision    |       val_recall      |     val_f1_score     | train_accuracy |   train_precision   |      train_recall     |     train_f1_score    | train_hamming_loss | val_hamming_loss |
|:-----:|:-------------------:|:---------------------------:|:-----------------:|:------:|:-------------------:|:-------------------:|:---------------------:|:--------------------:|:--------------:|:-------------------:|:---------------------:|:---------------------:|:------------------:|:----------------:|
|  0.01 |         relu        | mini_batch_gradient_descent |        [8]        |   13   |      0.6578125      |  0.4871794871794872 |   0.0871559633027523  | 0.14785992217898836  |  0.6716796875  |       0.61875       |  0.11269208878770633  |   0.1906596051998074  |    0.3283203125    |    0.3421875     |
|  0.01 |         relu        |    batch_gradient_descent   |        [8]        |   10   |       0.659375      |          0          |           0           |          0           |  0.6568359375  |          0          |           0           |           0           |    0.3431640625    |     0.340625     |
|  0.01 |         relu        |             sgd             |        [8]        |   17   |       0.65625       | 0.47368421052631576 |  0.08256880733944955  |       0.140625       |   0.67265625   |  0.6180758017492711 |  0.12066021627774616  |   0.2019047619047619  |     0.32734375     |     0.34375      |
|  0.01 |         relu        | mini_batch_gradient_descent |        [8]        |   16   |      0.66484375     |  0.5432098765432098 |  0.10091743119266056  |  0.1702127659574468  |  0.667578125   |  0.582089552238806  |   0.1109846328969835  |   0.1864244741873805  |    0.332421875     |    0.33515625    |
|  0.01 |         relu        |    batch_gradient_descent   |        [8]        |   10   |       0.659375      |         0.5         | 0.0022935779816513763 |  0.0045662100456621  |  0.6572265625  |  0.6666666666666666 | 0.0022766078542970974 | 0.0045377197958026095 |    0.3427734375    |     0.340625     |
|  0.01 |         relu        |             sgd             |        [8]        |   16   |      0.6671875      |  0.5694444444444444 |  0.09403669724770643  | 0.16141732283464566  |    0.671875    |  0.6135693215339233 |  0.11838360842344905  |  0.19847328244274806  |      0.328125      |    0.3328125     |
|  0.01 |         relu        | mini_batch_gradient_descent |      [16, 10]     |   6    |      0.63828125     | 0.37142857142857144 |  0.08944954128440367  | 0.14417744916820702  |  0.6677734375  |  0.5765027322404371 |  0.12009106431417188  |   0.1987753179463024  |    0.3322265625    |    0.36171875    |
|  0.01 |         relu        |    batch_gradient_descent   |      [16, 10]     |   10   |       0.659375      |          0          |           0           |          0           |  0.6568359375  |          0          |           0           |           0           |    0.3431640625    |     0.340625     |
|  0.01 |         relu        |             sgd             |      [16, 10]     |   8    |      0.65546875     |  0.4647887323943662 |  0.07568807339449542  | 0.13017751479289943  |  0.6701171875  |  0.6297709923664122 |  0.09391007398975526  |  0.16344725111441308  |    0.3298828125    |    0.34453125    |
|  0.01 |         relu        | mini_batch_gradient_descent |      [16, 10]     |   15   |      0.65078125     | 0.43956043956043955 |  0.09174311926605505  | 0.15180265654648956  |  0.6748046875  |  0.6173469387755102 |   0.1377347751849744  |  0.22522103303862262  |    0.3251953125    |    0.34921875    |
|  0.01 |         relu        |    batch_gradient_descent   |      [16, 10]     |   10   |       0.659375      |          0          |           0           |          0           |  0.6568359375  |          0          |           0           |           0           |    0.3431640625    |     0.340625     |
|  0.01 |         relu        |             sgd             |      [16, 10]     |   14   |      0.6578125      | 0.49019607843137253 |  0.11467889908256881  |  0.1858736059479554  |  0.679296875   |  0.6303854875283447 |  0.15822424587364825  |   0.2529572338489536  |    0.320703125     |    0.3421875     |
|  0.01 |         relu        | mini_batch_gradient_descent |    [16, 10, 5]    |   6    |       0.659375      |          0          |           0           |          0           |  0.6568359375  |          0          |           0           |           0           |    0.3431640625    |     0.340625     |
|  0.01 |         relu        |    batch_gradient_descent   |    [16, 10, 5]    |   11   |       0.659375      |          0          |           0           |          0           |  0.6568359375  |          0          |           0           |           0           |    0.3431640625    |     0.340625     |
|  0.01 |         relu        |             sgd             |    [16, 10, 5]    |   11   |       0.65625       |  0.3888888888888889 |  0.016055045871559634 | 0.030837004405286344 |   0.66015625   |  0.5648854961832062 |   0.0421172453044963  |  0.07838983050847458  |     0.33984375     |     0.34375      |
|  0.01 |         relu        | mini_batch_gradient_descent |    [16, 10, 5]    |   7    |       0.659375      |          0          |           0           |          0           |  0.6568359375  |          0          |           0           |           0           |    0.3431640625    |     0.340625     |
|  0.01 |         relu        |    batch_gradient_descent   |    [16, 10, 5]    |   9    |       0.659375      |          0          |           0           |          0           |  0.6568359375  |          0          |           0           |           0           |    0.3431640625    |     0.340625     |
|  0.01 |         relu        |             sgd             |    [16, 10, 5]    |   13   |      0.66796875     |  0.6486486486486487 |  0.05504587155963303  |  0.1014799154334038  |  0.6697265625  |       0.70625       |   0.064314171883893   |   0.1178925404277517  |    0.3302734375    |    0.33203125    |
| 0.001 |         relu        | mini_batch_gradient_descent |        [8]        |   59   |      0.6671875      |  0.5735294117647058 |  0.08944954128440367  | 0.15476190476190477  |   0.66640625   |  0.5865724381625441 |  0.09447922595332954  |  0.16274509803921566  |     0.33359375     |    0.3328125     |
| 0.001 |         relu        |    batch_gradient_descent   |        [8]        |   89   |      0.6640625      |  0.5428571428571428 |   0.0871559633027523  | 0.15019762845849802  |  0.663671875   |  0.5631768953068592 |   0.0887877063175868  |  0.15339233038348082  |    0.336328125     |    0.3359375     |
| 0.001 |         relu        |             sgd             |        [8]        |   63   |      0.6546875      |  0.4605263157894737 |  0.08027522935779817  |      0.13671875      |  0.669140625   |  0.6026058631921825 |  0.10529311326124074  |  0.17926356589147288  |    0.330859375     |    0.3453125     |
| 0.001 |         relu        | mini_batch_gradient_descent |        [8]        |  100   |      0.6546875      |  0.4594594594594595 |   0.0779816513761468  | 0.13333333333333333  |  0.667578125   |  0.5856697819314641 |  0.10700056915196357  |   0.1809432146294514  |    0.332421875     |    0.3453125     |
| 0.001 |         relu        |    batch_gradient_descent   |        [8]        |   42   |      0.65390625     |  0.4186046511627907 |  0.04128440366972477  | 0.07515657620041753  |  0.6658203125  |  0.6045454545454545 |  0.07569721115537849  |   0.1345472938796156  |    0.3341796875    |    0.34609375    |
| 0.001 |         relu        |             sgd             |        [8]        |   87   |       0.659375      |         0.5         |  0.06880733944954129  | 0.12096774193548387  |  0.6646484375  |  0.6063829787234043 |  0.06488332384746727  |   0.1172236503856041  |    0.3353515625    |     0.340625     |
| 0.001 |         relu        | mini_batch_gradient_descent |      [16, 10]     |   14   |       0.653125      | 0.36666666666666664 |  0.02522935779816514  | 0.04721030042918455  |  0.6619140625  |  0.5755813953488372 |  0.056346044393853156 |  0.10264385692068428  |    0.3380859375    |     0.346875     |
| 0.001 |         relu        |    batch_gradient_descent   |      [16, 10]     |   62   |      0.65703125     |  0.4782608695652174 |  0.07568807339449542  |  0.1306930693069307  |  0.6712890625  |  0.6330935251798561 |  0.10017074558907228  |  0.17297297297297298  |    0.3287109375    |    0.34296875    |
| 0.001 |         relu        |             sgd             |      [16, 10]     |   32   |      0.65703125     |  0.4819277108433735 |  0.09174311926605505  | 0.15414258188824664  |  0.6669921875  |  0.5807453416149069 |   0.1064314171883893  |  0.17989417989417988  |    0.3330078125    |    0.34296875    |
| 0.001 |         relu        | mini_batch_gradient_descent |      [16, 10]     |   11   |       0.65625       |  0.4411764705882353 |  0.034403669724770644 | 0.06382978723404256  |  0.662109375   |         0.6         |  0.04610130904951622  |  0.08562367864693445  |    0.337890625     |     0.34375      |
| 0.001 |         relu        |    batch_gradient_descent   |      [16, 10]     |   28   |      0.66015625     |         0.52        |  0.02981651376146789  | 0.05639913232104122  |  0.662109375   |         0.6         |  0.04610130904951622  |  0.08562367864693445  |    0.337890625     |    0.33984375    |
| 0.001 |         relu        |             sgd             |      [16, 10]     |   41   |      0.66015625     |  0.5074626865671642 |   0.0779816513761468  | 0.13518886679920478  |  0.672265625   |  0.6405693950177936 |  0.10244735344336937  |   0.1766437684003925  |    0.327734375     |    0.33984375    |
| 0.001 |         relu        | mini_batch_gradient_descent |    [16, 10, 5]    |   31   |       0.65625       | 0.35714285714285715 |  0.011467889908256881 | 0.022222222222222223 |  0.6587890625  |  0.5657894736842105 |  0.024473534433693798 |  0.046917621385706494 |    0.3412109375    |     0.34375      |
| 0.001 |         relu        |    batch_gradient_descent   |    [16, 10, 5]    |   21   |       0.659375      |          0          |           0           |          0           |  0.6568359375  |          0          |           0           |           0           |    0.3431640625    |     0.340625     |
| 0.001 |         relu        |             sgd             |    [16, 10, 5]    |   28   |       0.659375      |          0          |           0           |          0           |  0.6576171875  |         0.75        |  0.003414911781445646 |  0.00679886685552408  |    0.3423828125    |     0.340625     |
| 0.001 |         relu        | mini_batch_gradient_descent |    [16, 10, 5]    |   39   |      0.6578125      |        0.375        |  0.006880733944954129 | 0.013513513513513514 |  0.658984375   |  0.7894736842105263 |  0.008537279453614115 |  0.01689189189189189  |    0.341015625     |    0.3421875     |
| 0.001 |         relu        |    batch_gradient_descent   |    [16, 10, 5]    |   29   |       0.659375      |          0          |           0           |          0           |  0.6568359375  |          0          |           0           |           0           |    0.3431640625    |     0.340625     |
| 0.001 |         relu        |             sgd             |    [16, 10, 5]    |   87   |      0.65546875     | 0.43902439024390244 |  0.04128440366972477  | 0.07547169811320754  |  0.6623046875  |  0.6166666666666667 |   0.0421172453044963  |   0.0788492274906766  |    0.3376953125    |    0.34453125    |
|  0.01 |       sigmoid       | mini_batch_gradient_descent |        [8]        |   18   |      0.66640625     |  0.5789473684210527 |  0.07568807339449542  | 0.13387423935091278  |  0.6634765625  |  0.5685483870967742 |  0.08025042686397268  |  0.14064837905236907  |    0.3365234375    |    0.33359375    |
|  0.01 |       sigmoid       |    batch_gradient_descent   |        [8]        |   18   |      0.66015625     |         0.6         |  0.006880733944954129 | 0.01360544217687075  |  0.6583984375  |  0.6176470588235294 |  0.01195219123505976  |  0.02345058626465662  |    0.3416015625    |    0.33984375    |
|  0.01 |       sigmoid       |             sgd             |        [8]        |   18   |      0.6671875      |  0.5862068965517241 |   0.0779816513761468  |  0.1376518218623482  |   0.6671875    |  0.606425702811245  |  0.08594194649971543  |  0.15054835493519442  |     0.3328125      |    0.3328125     |
|  0.01 |       sigmoid       | mini_batch_gradient_descent |        [8]        |   19   |      0.66171875     |  0.5294117647058824 |  0.06192660550458716  |  0.1108829568788501  |  0.6685546875  |  0.631578947368421  |  0.08195788275469551  |  0.14508816120906803  |    0.3314453125    |    0.33828125    |
|  0.01 |       sigmoid       |    batch_gradient_descent   |        [8]        |   64   |      0.65703125     | 0.47368421052631576 |  0.06192660550458716  | 0.10953346855983774  |  0.6724609375  |  0.6626016260162602 |  0.09277177006260671  |  0.16275586620069893  |    0.3275390625    |    0.34296875    |
|  0.01 |       sigmoid       |             sgd             |        [8]        |   14   |      0.66640625     |  0.6097560975609756 |  0.05733944954128441  | 0.10482180293501048  |  0.667578125   |  0.6303317535545023 |  0.07569721115537849  |  0.13516260162601626  |    0.332421875     |    0.33359375    |
|  0.01 |       sigmoid       | mini_batch_gradient_descent |      [16, 10]     |   25   |      0.66640625     |         0.6         |  0.06192660550458716  | 0.11226611226611227  |  0.6705078125  |  0.6767676767676768 |  0.07626636311895275  |  0.13708439897698207  |    0.3294921875    |    0.33359375    |
|  0.01 |       sigmoid       |    batch_gradient_descent   |      [16, 10]     |   14   |       0.659375      |          0          |           0           |          0           |  0.6568359375  |          0          |           0           |           0           |    0.3431640625    |     0.340625     |
|  0.01 |       sigmoid       |             sgd             |      [16, 10]     |   20   |      0.66953125     |  0.6274509803921569 |  0.07339449541284404  | 0.13141683778234087  |   0.6671875    |  0.6432432432432432 |  0.06772908366533864  |  0.12255406797116372  |     0.3328125      |    0.33046875    |
|  0.01 |       sigmoid       | mini_batch_gradient_descent |      [16, 10]     |   23   |      0.66953125     |  0.6756756756756757 |  0.05733944954128441  | 0.10570824524312897  |    0.66875     |  0.6918238993710691 |  0.06260671599317018  |  0.11482254697286014  |      0.33125       |    0.33046875    |
|  0.01 |       sigmoid       |    batch_gradient_descent   |      [16, 10]     |   10   |       0.659375      |          0          |           0           |          0           |  0.6568359375  |          0          |           0           |           0           |    0.3431640625    |     0.340625     |
|  0.01 |       sigmoid       |             sgd             |      [16, 10]     |   27   |      0.6703125      |  0.6590909090909091 |  0.06651376146788991  | 0.12083333333333335  |  0.6697265625  |  0.6833333333333333 |  0.07000569151963575  |  0.12700051626226122  |    0.3302734375    |    0.3296875     |
|  0.01 |       sigmoid       | mini_batch_gradient_descent |    [16, 10, 5]    |   5    |       0.659375      |          0          |           0           |          0           |  0.6568359375  |          0          |           0           |           0           |    0.3431640625    |     0.340625     |
|  0.01 |       sigmoid       |    batch_gradient_descent   |    [16, 10, 5]    |   10   |       0.659375      |          0          |           0           |          0           |  0.6568359375  |          0          |           0           |           0           |    0.3431640625    |     0.340625     |
|  0.01 |       sigmoid       |             sgd             |    [16, 10, 5]    |   76   |      0.67421875     |  0.6727272727272727 |  0.08486238532110092  | 0.15071283095723015  |   0.67109375   |  0.6682027649769585 |  0.08252703471826978  |   0.1469098277608916  |     0.32890625     |    0.32578125    |
|  0.01 |       sigmoid       | mini_batch_gradient_descent |    [16, 10, 5]    |   64   |      0.66171875     |  0.5384615384615384 |   0.0481651376146789  | 0.08842105263157896  |  0.666796875   |  0.6624203821656051 |  0.05919180421172453  |  0.10867293625914315  |    0.333203125     |    0.33828125    |
|  0.01 |       sigmoid       |    batch_gradient_descent   |    [16, 10, 5]    |   8    |       0.659375      |          0          |           0           |          0           |  0.6568359375  |          0          |           0           |           0           |    0.3431640625    |     0.340625     |
|  0.01 |       sigmoid       |             sgd             |    [16, 10, 5]    |   59   |      0.66796875     |         0.6         |  0.07568807339449542  | 0.13441955193482688  |  0.669921875   |  0.6462882096069869 |   0.0842344906089926  |  0.14904330312185296  |    0.330078125     |    0.33203125    |
| 0.001 |       sigmoid       | mini_batch_gradient_descent |        [8]        |   80   |      0.66328125     |  0.5925925925925926 |  0.03669724770642202  | 0.06911447084233262  |  0.6681640625  |  0.7071428571428572 |  0.056346044393853156 |   0.1043753294675804  |    0.3318359375    |    0.33671875    |
| 0.001 |       sigmoid       |    batch_gradient_descent   |        [8]        |   99   |      0.66484375     |  0.6521739130434783 |  0.034403669724770644 | 0.06535947712418301  |  0.664453125   |  0.693069306930693  |   0.0398406374501992  |  0.07534983853606028  |    0.335546875     |    0.33515625    |
| 0.001 |       sigmoid       |             sgd             |        [8]        |   99   |      0.6640625      |  0.5789473684210527 |  0.05045871559633028  | 0.09282700421940929  |  0.666796875   |  0.656441717791411  |  0.06089926010244735  |  0.11145833333333333  |    0.333203125     |    0.3359375     |
| 0.001 |       sigmoid       | mini_batch_gradient_descent |        [8]        |  145   |      0.66796875     |  0.6078431372549019 |  0.07110091743119266  | 0.12731006160164274  |  0.666015625   |  0.6157635467980296 |  0.07114399544678429  |  0.12755102040816327  |    0.333984375     |    0.33203125    |
| 0.001 |       sigmoid       |    batch_gradient_descent   |        [8]        |   99   |      0.66171875     |  0.5384615384615384 |   0.0481651376146789  | 0.08842105263157896  |  0.6685546875  |  0.6685393258426966 |  0.06772908366533864  |  0.12299741602067184  |    0.3314453125    |    0.33828125    |
| 0.001 |       sigmoid       |             sgd             |        [8]        |   83   |      0.67109375     |  0.6744186046511628 |  0.06651376146788991  |  0.1210855949895616  |   0.66796875   |  0.6524064171122995 |  0.06943653955606147  |  0.12551440329218105  |     0.33203125     |    0.32890625    |
| 0.001 |       sigmoid       | mini_batch_gradient_descent |      [16, 10]     |   99   |       0.659375      |          0          |           0           |          0           |  0.6568359375  |          0          |           0           |           0           |    0.3431640625    |     0.340625     |
| 0.001 |       sigmoid       |    batch_gradient_descent   |      [16, 10]     |   99   |       0.659375      |          0          |           0           |          0           |  0.6568359375  |          0          |           0           |           0           |    0.3431640625    |     0.340625     |
| 0.001 |       sigmoid       |             sgd             |      [16, 10]     |   8    |       0.659375      |          0          |           0           |          0           |  0.6568359375  |          0          |           0           |           0           |    0.3431640625    |     0.340625     |
| 0.001 |       sigmoid       | mini_batch_gradient_descent |      [16, 10]     |  172   |      0.66171875     |  0.5428571428571428 |  0.04357798165137615  | 0.08067940552016985  |  0.6666015625  |  0.6506024096385542 |  0.061468412066021626 |  0.11232449297971918  |    0.3333984375    |    0.33828125    |
| 0.001 |       sigmoid       |    batch_gradient_descent   |      [16, 10]     |  198   |      0.66171875     |  0.5555555555555556 |  0.034403669724770644 | 0.06479481641468683  |   0.66484375   |  0.6496350364963503 |  0.050654524758110414 |  0.09398099260823653  |     0.33515625     |    0.33828125    |
| 0.001 |       sigmoid       |             sgd             |      [16, 10]     |  197   |      0.66640625     |  0.6363636363636364 |   0.0481651376146789  | 0.08955223880597016  |  0.6654296875  |  0.6833333333333333 |   0.0466704610130905  |  0.08737346830047948  |    0.3345703125    |    0.33359375    |
| 0.001 |       sigmoid       | mini_batch_gradient_descent |    [16, 10, 5]    |   19   |       0.659375      |          0          |           0           |          0           |  0.6568359375  |          0          |           0           |           0           |    0.3431640625    |     0.340625     |
| 0.001 |       sigmoid       |    batch_gradient_descent   |    [16, 10, 5]    |   14   |       0.659375      |          0          |           0           |          0           |  0.6568359375  |          0          |           0           |           0           |    0.3431640625    |     0.340625     |
| 0.001 |       sigmoid       |             sgd             |    [16, 10, 5]    |   28   |       0.659375      |          0          |           0           |          0           |  0.6568359375  |          0          |           0           |           0           |    0.3431640625    |     0.340625     |
| 0.001 |       sigmoid       | mini_batch_gradient_descent |    [16, 10, 5]    |   13   |       0.659375      |          0          |           0           |          0           |  0.6568359375  |          0          |           0           |           0           |    0.3431640625    |     0.340625     |
| 0.001 |       sigmoid       |    batch_gradient_descent   |    [16, 10, 5]    |   9    |       0.659375      |          0          |           0           |          0           |  0.6568359375  |          0          |           0           |           0           |    0.3431640625    |     0.340625     |
| 0.001 |       sigmoid       |             sgd             |    [16, 10, 5]    |  199   |       0.659375      |          0          |           0           |          0           |  0.6568359375  |          0          |           0           |           0           |    0.3431640625    |     0.340625     |
|  0.01 |         tanh        | mini_batch_gradient_descent |        [8]        |   10   |      0.66328125     |  0.5217391304347826 |  0.13761467889908258  | 0.21778584392014522  |  0.673828125   |  0.5990888382687927 |  0.14968696642003415  |  0.23952641165755917  |    0.326171875     |    0.33671875    |
