|   lr  | activation_function |          optimizer          | neurons_per_layer | epochs |     val_accuracy    |    val_precision    |      val_recall     |     val_f1_score    |    train_accuracy   |   train_precision    |     train_recall    |    train_f1_score   |
|:-----:|:-------------------:|:---------------------------:|:-----------------:|:------:|:-------------------:|:-------------------:|:-------------------:|:-------------------:|:-------------------:|:--------------------:|:-------------------:|:-------------------:|
|  0.01 |         relu        | mini_batch_gradient_descent |        [8]        |   27   |  0.5519125683060109 |  0.3216819253330409 |  0.3674202127659575 | 0.34303315840778564 |  0.6114911080711354 |  0.295185746525427   |  0.2991830871243258 |  0.2971709750603028 |
|  0.01 |         relu        |    batch_gradient_descent   |        [8]        |   7    |  0.2568306010928962 | 0.05136612021857924 |         0.2         | 0.08173913043478262 |  0.454172366621067  |  0.0756953944368445  | 0.16666666666666666 | 0.10410787080589524 |
|  0.01 |         relu        |             sgd             |        [8]        |   28   |  0.5519125683060109 | 0.32445992720126837 |  0.3716755319148936 |  0.3464665229974328 |  0.6210670314637483 | 0.29596145961459613  | 0.30497134737781534 |  0.3003988601065279 |
|  0.01 |         relu        | mini_batch_gradient_descent |        [8]        |   32   |  0.5683060109289617 | 0.32940813464235624 |  0.373936170212766  | 0.35026263937821034 |  0.6101231190150479 |  0.2951790458494287  | 0.29331008243500317 | 0.29424159635226316 |
|  0.01 |         relu        |    batch_gradient_descent   |        [8]        |   9    |  0.2568306010928962 | 0.05136612021857924 |         0.2         | 0.08173913043478262 |  0.454172366621067  |  0.0756953944368445  | 0.16666666666666666 | 0.10410787080589524 |
|  0.01 |         relu        |             sgd             |        [8]        |   21   |  0.5628415300546448 |  0.3321767687584779 | 0.37792553191489364 |  0.3535774546956794 |  0.615595075239398  |  0.2989793373951195  | 0.30457717810814405 | 0.30175229844223533 |
|  0.01 |         relu        | mini_batch_gradient_descent |      [16, 10]     |   20   |  0.5300546448087432 |  0.3239293450347246 |  0.3816489361702128 | 0.35042827484909084 |  0.612859097127223  |  0.2904667428637151  |  0.3166420066229832 |  0.302990106452498  |
|  0.01 |         relu        |    batch_gradient_descent   |      [16, 10]     |   12   |  0.2568306010928962 | 0.05136612021857924 |         0.2         | 0.08173913043478262 |  0.454172366621067  |  0.0756953944368445  | 0.16666666666666666 | 0.10410787080589524 |
|  0.01 |         relu        |             sgd             |      [16, 10]     |   12   |  0.5683060109289617 |  0.3303391293624368 |  0.3672872340425532 |  0.3478347478938946 |  0.612859097127223  |  0.3025317551436954  | 0.30507174898424105 |  0.3037964430354108 |
|  0.01 |         relu        | mini_batch_gradient_descent |      [16, 10]     |   36   |  0.5683060109289617 |  0.3356250446205469 |  0.3841755319148936 |  0.3582629251609386 |  0.6374829001367989 |  0.3029331140350877  |  0.3148678534801976 |  0.3087852055263738 |
|  0.01 |         relu        |    batch_gradient_descent   |      [16, 10]     |   8    |  0.2568306010928962 | 0.05136612021857924 |         0.2         | 0.08173913043478262 |  0.454172366621067  |  0.0756953944368445  | 0.16666666666666666 | 0.10410787080589524 |
|  0.01 |         relu        |             sgd             |      [16, 10]     |   15   |  0.5628415300546448 |  0.329296066252588  |  0.3672872340425532 |  0.3472556442388489 |  0.615595075239398  | 0.29771698270984687  | 0.30788886540313304 |  0.3027174995201778 |
|  0.01 |         relu        | mini_batch_gradient_descent |    [16, 10, 5]    |   17   |  0.5573770491803278 | 0.22687074829931975 | 0.26170212765957446 | 0.24304483713765163 |  0.5718194254445964 | 0.20549890350877195  |  0.2354306113342258 |  0.2194488273202135 |
|  0.01 |         relu        |    batch_gradient_descent   |    [16, 10, 5]    |   8    |  0.2568306010928962 | 0.05136612021857924 |         0.2         | 0.08173913043478262 |  0.454172366621067  |  0.0756953944368445  | 0.16666666666666666 | 0.10410787080589524 |
|  0.01 |         relu        |             sgd             |    [16, 10, 5]    |   9    |  0.5573770491803278 |  0.3254622577846332 |  0.3610372340425532 | 0.34232798344266757 |  0.6087551299589603 |  0.2951843895452918  | 0.30391155264332187 | 0.29948440583674435 |
|  0.01 |         relu        | mini_batch_gradient_descent |    [16, 10, 5]    |   19   |  0.6065573770491803 |  0.3814241698048614 | 0.32460106382978726 |  0.3507259666957471 |  0.600547195622435  |  0.2896276032237733  |  0.2581037600695178 |  0.2729585282920896 |
|  0.01 |         relu        |    batch_gradient_descent   |    [16, 10, 5]    |   4    |  0.5136612021857924 | 0.10273224043715848 |         0.2         | 0.13574007220216605 |  0.3693570451436389 | 0.061559507523939815 | 0.16666666666666666 |  0.0899100899100899 |
|  0.01 |         relu        |             sgd             |    [16, 10, 5]    |   50   |  0.5737704918032787 | 0.33956588909858254 |  0.3863031914893617 |  0.3614298781633041 |  0.6142270861833106 |  0.2912161342532586  |  0.3040595129054229 |  0.2974992723249847 |
| 0.001 |         relu        | mini_batch_gradient_descent |        [8]        |   99   |  0.5901639344262295 | 0.33343825337600863 | 0.35558510638297874 | 0.34415575355916983 |  0.5896032831737346 |  0.2834109624361088  |  0.2697139434932714 | 0.27639286348688025 |
| 0.001 |         relu        |    batch_gradient_descent   |        [8]        |   48   |  0.2786885245901639 | 0.26704761904761903 | 0.21675531914893614 |  0.2392874756420499 |  0.4692202462380301 |  0.2182675349342016  | 0.18266888215630553 | 0.19888782818370218 |
| 0.001 |         relu        |             sgd             |        [8]        |   99   |  0.5136612021857924 | 0.26255665902724723 | 0.28257978723404253 |  0.2722004934861353 |  0.5896032831737346 |  0.3207991343862419  |  0.2420776673947251 |  0.2759335822999068 |
| 0.001 |         relu        | mini_batch_gradient_descent |        [8]        |  145   |  0.5901639344262295 |  0.3349687704080778 |  0.3639627659574468 |  0.3488643846894031 |  0.5909712722298222 |  0.2847227864900734  |  0.2751258445086388 |  0.2798420599660785 |
| 0.001 |         relu        |    batch_gradient_descent   |        [8]        |   33   |  0.3825136612021858 |  0.1600551724137931 | 0.24255319148936172 | 0.19285189461530391 |  0.4856361149110807 | 0.14133015792727477  | 0.18109474936784176 | 0.15876037457944223 |
| 0.001 |         relu        |             sgd             |        [8]        |  186   |  0.5628415300546448 |  0.3150773781658559 |  0.3283244680851064 | 0.32156455003893253 |  0.5868673050615595 | 0.28562550310785323  | 0.27383471507863816 | 0.27960586193694154 |
